کارنامه سال,سهمیه,قبولی,رتبه سهمیه زیرگروه ۱,رتبه سهمیه زیرگروه ۲,رتبه سهمیه زیرگروه ۳,رتبه سهمیه زیرگروه ۴,معدل موثر,زبان انگلیسی,مجموعه ریاضیات,دروس تخصصی ۱,دروس تخصصی ۲,دروس تخصصی ۳,دروس تخصصی ۴,رتبه کشور زیرگروه ۱,رتبه کشور زیرگروه ۲,رتبه کشور زیرگروه ۳,رتبه کشور زیرگروه ۴,میانگین درصد ضریب ۱,میانگین درصد ضریب ۲,میانگین درصد ضریب ۳,میانگین درصد ضریب ۴
1404,0,-,323,306,300,286,19.83,16.00,0.00,40.00,40.00,45.00,30.00,348,329,324,308,31.40,31.73,32.40,32.07
1404,0,نرم افزار تربیت مدرس,324,298,326,327,20.00,85.33,0.00,50.00,25.00,33.33,30.00,349,320,352,353,32.02,32.80,32.24,31.69
1404,0,-,327,386,329,362,20.00,88.00,18.33,30.00,16.67,35.00,31.67,352,415,355,390,31.09,29.76,31.31,30.09
1404,0,-,330,407,344,415,19.19,53.33,0.00,50.00,11.67,43.33,41.67,355,438,370,447,32.33,30.78,32.44,30.33
1404,0,نرم افزار خوارزمی نوبت دوم,331,412,361,433,18.07,58.67,10.00,50.00,8.33,36.67,45.00,356,443,388,466,32.91,31.36,32.36,30.47
1404,0,شبکه‌های کامپیوتری علم و صنعت,332,373,376,419,17.00,96.00,1.67,50.00,13.33,30.00,43.33,357,401,405,451,33.51,32.84,32.62,31.51
1404,0,نرم افزار تربیت مدرس,347,383,298,334,18.94,90.67,0.00,36.67,25.00,50.00,25.00,373,411,322,361,32.60,31.71,34.27,32.60
1404,0,-,349,320,352,353,20.00,85.33,50.00,25.00,33.33,30.00,32.00,298,326,327,362,114.75,95.04,95.15,95.38
1404,0,-,352,295,329,274,17.99,0.00,23.33,33.33,48.33,36.67,25.00,379,317,355,296,31.22,32.55,32.00,32.78
1404,0,-,354,366,358,331,19.05,37.33,-1.66,26.67,40.00,36.67,36.67,381,394,385,358,30.94,30.49,30.94,31.16
1404,0,-,357,324,404,358,17.89,0.00,20.00,40.00,36.67,25.00,40.00,384,349,436,385,31.00,31.78,30.00,30.78
1404,0,هوش مصنوعی علم و صنعت (سهمیه شاگرد اولی),358,243,349,260,18.49,8.00,20.00,36.67,55.00,26.67,23.33,385,263,375,280,30.64,33.42,30.87,32.76
1404,0,-,364,251,419,341,18.61,86.67,16.67,50.00,33.33,10.00,30.00,392,272,453,368,31.33,34.22,30.00,31.56
1404,0,هوش مصنوعی خواجه نصیر,364,251,419,341,18.61,86.67,16.67,50.00,33.33,10.00,30.00,392,272,453,368,31.33,34.22,30.00,31.56
1404,0,هوش مصنوعی خواجه نصیر نوبت دوم,364,328,345,355,19.13,73.33,16.67,46.67,23.33,33.33,25.00,392,353,371,382,31.33,32.11,31.89,31.22
1404,0,علم داده ها تربیت مدرس,367,433,327,380,19.33,0.00,13.33,36.67,25.00,51.67,31.67,396,465,353,410,30.45,29.00,31.78,30.00
1404,0,شبکه‌های کامپیوتری علم و صنعت,369,410,383,414,14.95,62.67,23.33,40.00,21.67,35.00,38.33,398,441,412,446,34.18,33.40,33.96,33.07
1404,0,-,371,376,479,370,16.02,0.00,10.00,20.00,50.00,20.00,51.67,400,404,520,399,31.78,31.67,29.67,31.67
1404,0,هوش مصنوعی غیر انتفاعی خاتم,374,503,407,456,18.43,56.00,-1.66,23.33,16.67,41.67,48.33,403,546,440,492,31.18,27.85,30.73,29.07
1404,0,-,379,244,312,272,14.65,25.33,21.67,60.00,48.33,41.67,15.00,408,264,338,294,34.58,38.02,36.36,36.80
1404,0,-,380,546,389,413,17.04,0.00,0.00,0.00,38.33,51.67,50.00,409,595,420,445,31.33,27.11,31.44,30.56
1404,0,-,380,546,389,413,17.04,0.00,0.00,0.00,38.33,51.67,50.00,409,595,420,445,31.33,27.11,31.44,30.56
1404,0,-,383,497,500,515,20.00,66.67,11.67,23.33,8.33,18.33,55.00,412,540,545,563,29.11,26.33,26.67,26.00
1404,0,هوش مصنوعی الزهرا,386,349,356,378,18.24,20.00,28.33,50.00,25.00,36.67,25.00,415,375,382,408,30.78,31.67,31.56,30.78
1404,0,شبکه‌های کامپیوتری خواجه نصیر,388,668,351,503,15.93,100.00,20.00,6.67,0.00,60.00,41.67,418,734,377,550,33.33,27.00,34.56,30.56
1404,0,علم داده شهید بهشتی,390,367,408,348,15.66,48.00,8.33,26.67,46.67,31.67,35.00,420,395,441,375,32.87,33.31,32.65,33.65
1404,0,-,390,367,408,348,15.66,48.00,8.33,26.67,46.67,31.67,35.00,420,396,441,375,32.87,33.31,32.65,33.65
1404,0,هوش مصنوعی تهران نوبت دوم,398,472,387,424,17.51,70.67,8.33,23.33,25.00,41.67,35.00,439,511,416,555,31.60,29.71,32.04,30.93
1404,0,-,406,400,432,430,18.59,45.33,0.00,46.67,26.67,31.67,36.67,438,430,467,463,30.69,31.02,30.36,30.02
1404,0,هوش مصنوعی تربیت مدرس (سهمیه شاگرد اولی),407,371,390,333,19.45,16.00,5.00,23.33,48.33,35.00,28.33,439,399,421,360,29.06,29.62,29.51,30.40
1404,0,هوش مصنوعی خوارزمی,410,482,364,453,17.00,0.00,8.33,50.00,16.67,56.67,36.67,443,523,391,489,32.22,30.45,33.56,30.89
1404,0,-,413,459,436,388,17.34,54.67,11.67,3.33,43.33,31.67,36.67,446,498,472,419,30.42,28.98,30.09,30.87
1404,0,-,419,381,419,397,18.61,42.67,5.00,40.00,35.00,31.67,30.00,453,410,453,428,30.18,31.07,30.29,30.51
1404,0,نرم افزار علم و صنعت,423,221,447,287,20.00,18.67,33.33,40.00,56.67,5.00,15.00,457,239,484,309,27.36,32.47,26.69,30.13
1404,0,-,425,599,438,467,16.99,74.67,-1.66,6.67,23.33,45.00,45.00,459,655,475,508,31.31,27.31,31.31,29.87
1404,0,هوش مصنوعی خوارزمی,426,511,465,510,15.11,12.00,13.33,36.67,16.67,40.00,48.33,460,557,506,557,31.69,29.36,31.13,29.58
1404,0,-,427,474,444,458,17.77,0.00,0.00,40.00,26.67,41.67,43.33,461,513,481,495,30.56,29.33,30.45,29.45
1404,0,علم داده غیرانتفاعی خاتم,428,332,424,344,17.04,34.67,33.33,30.00,45.00,23.33,21.67,462,357,458,371,30.20,32.20,30.31,31.76
1404,0,معماری علم و صنعت,432,373,411,369,18.11,62.67,13.33,30.00,40.00,30.00,23.33,466,401,444,397,30.18,31.29,30.62,31.29
1404,0,هوش مصنوعی پردیس فارابی تهران,435,389,450,428,17.00,50.67,0.00,50.00,35.00,31.67,36.67,469,418,488,461,33.16,34.27,32.82,33.05
1404,0,نرم افزار خواجه نصیر نوبت دوم,440,426,421,401,15.41,8.00,0.00,36.67,45.00,43.33,35.00,475,458,455,432,32.42,32.64,32.98,33.09
1404,0,-,441,516,453,514,18.03,12.00,16.67,36.67,13.33,40.00,41.67,476,562,492,562,29.69,27.58,29.58,27.80
1404,0,هوش مصنوعی شیراز خودگردان,444,447,441,418,16.70,33.33,0.00,30.00,40.00,38.33,35.00,479,484,478,450,31.22,31.00,31.44,31.55
1404,0,-,446,466,360,432,16.45,4.00,0.00,50.00,28.33,60.00,28.33,481,505,387,465,32.15,31.49,34.27,32.15
